paper,quarter,citations_in_quarter,cohort_p95,cohort_p99
Kaplan,2020-01,3,1,3
Kaplan,2020-04,15,2,6
Kaplan,2020-07,9,3,6
Kaplan,2020-10,22,4,10
Kaplan,2021-01,30,4,10
Kaplan,2021-04,49,5,14
Kaplan,2021-07,34,4,11
Kaplan,2021-10,50,5,14
Kaplan,2022-01,49,5,13
Kaplan,2022-04,60,5,14
Kaplan,2022-07,51,5,12
Kaplan,2022-10,107,5,16
Kaplan,2023-01,92,5,13
Kaplan,2023-04,190,5,16
Kaplan,2023-07,135,5,14
Kaplan,2023-10,217,5,15
Kaplan,2024-01,234,5,15
Kaplan,2024-04,374,5,15
Kaplan,2024-07,260,4,13
Kaplan,2024-10,320,3,10
Hoffmann,2022-01,6,1,3
Hoffmann,2022-04,28,2,5
Hoffmann,2022-07,23,2,5
Hoffmann,2022-10,62,4,10
Hoffmann,2023-01,65,4,10
Hoffmann,2023-04,120,5,14
Hoffmann,2023-07,105,4,12
Hoffmann,2023-10,115,5,15
Hoffmann,2024-01,117,5,16
Hoffmann,2024-04,151,5,17
Hoffmann,2024-07,101,4,13
Hoffmann,2024-10,117,3,11
